"1","Perfiles","<li><a href=""profile"">Perfiles</a></li>",,"profile","1","2","2017-05-05 16:59:47","0000-00-00 00:00:00"
"2","Usuarios","<li><a href=""users"">Usuarios</a></li>",,"users","1","3","2017-05-05 16:59:55","0000-00-00 00:00:00"
"3","Menús"," <li><a href=""menus"">Menús</a></li>",,"menus","2","5","2017-05-05 17:00:18","0000-00-00 00:00:00"
"4","Submenús"," <li><a href=""submenus"">Submenús</a></li>",,"submenus","2","6","2017-05-18 13:19:53","0000-00-00 00:00:00"
"5","Acciones"," <li><a href=""actions"">Acciones</a></li>",,"actions","2","7","2017-05-23 14:01:11","0000-00-00 00:00:00"
"6","Asociaciones"," <li><a href=""relate_users"">Acciones</a></li>",,"relate_users","1","13","2017-05-23 14:01:11","0000-00-00 00:00:00"
"7","Grupos de Inversionistas"," <li><a href=""investor_groups"">Grupos de Inversionistas</a></li>",,"investor_groups","1","15","2017-05-23 14:01:11","0000-00-00 00:00:00"
"8","Cuentas"," <li><a href=""accounts"">Cuentas</a></li>",,"accounts","3","10","2017-05-23 14:01:11","0000-00-00 00:00:00"
"9","Transacciones"," <li><a href=""transactions"">Transacciones</a></li>",,"transactions","3","9","2017-05-23 14:01:11","0000-00-00 00:00:00"
"10","Monedas"," <li><a href=""coins"">Monedas</a></li>",,"coins","3","12","2017-05-09 10:03:45","0000-00-00 00:00:00"
"11","Import LB"," <li><a href=""import_lb"">Import LB</a></li>",,"import_lb","3","19","2017-05-09 10:03:45","0000-00-00 00:00:00"
"12","Inversiones"," <li><a href=""projects"">Inversiones</a></li>",,"projects","6","16","2017-05-09 10:03:45","0000-00-00 00:00:00"
"13","Invertir"," <li><a href=""projects"">Invertir</a></li>",,"projects","6","16","2017-05-09 10:03:45","0000-00-00 00:00:00"
"14","Repartir Ganancias"," <li><a href=""share_profit"">Repartir Ganancias</a></li>",,"share_profit","6","18","2017-05-09 10:03:45","0000-00-00 00:00:00"
